# wavelength flux
4005.0008626454 0.9887638882
4005.0075420408 0.9883151180
4005.0142214473 0.9888077527
4005.0209008649 0.9891750802
4005.0275802937 0.9886766594
4005.0342597336 0.9878286708
4005.0409391846 0.9877963654
4005.0476186468 0.9872995132
4005.0542981201 0.9867042385
4005.0609776046 0.9871438358
4005.0676571002 0.9873016667
4005.0743366070 0.9882718547
4005.0810161249 0.9882594993
4005.0876956539 0.9882394452
4005.0943751941 0.9883925787
4005.1010547454 0.9884772808
4005.1077343078 0.9875841718
4005.1144138814 0.9869871306
4005.1210934661 0.9867242445
4005.1277730620 0.9871809631
4005.1344526690 0.9873065327
4005.1411322872 0.9876408481
4005.1478119164 0.9878736561
4005.1544915569 0.9876604860
4005.1611712084 0.9872840159
4005.1678508711 0.9869292614
4005.1745305450 0.9861082693
4005.1812102300 0.9857469572
4005.1878899261 0.9860144321
4005.1945696334 0.9859708776
4005.2012493518 0.9865654305
4005.2079290813 0.9869778348
4005.2146088220 0.9878075602
